,"(deg C) Mean Temperature (ERA5) at Nuwara Eliya, 2007-01-01 to 2025-12-31"
"2009-09-13",24.3438
"2009-09-14",23.663
"2009-09-15",23.5131
"2009-09-16",23.8258
"2009-09-17",23.6276
"2009-09-18",22.4493
"2009-09-19",23.3537
"2009-09-20",23.9903
"2009-09-21",23.0332
"2009-09-22",22.8207
"2009-09-23",23.6005
"2009-09-24",23.5345
"2009-09-25",23.254
"2009-09-26",23.4163
"2009-09-27",23.5322
"2009-09-28",23.6815
"2009-09-29",23.0014
"2009-09-30",23.3988
"2009-10-01",22.7294
"2009-10-02",22.5172
"2009-10-03",22.976
"2009-10-04",23.2854
"2009-10-05",23.2318
"2009-10-06",23.2754
"2009-10-07",23.2154
"2009-10-08",23.2425
"2009-10-09",23.4185
"2009-10-10",23.655
"2009-10-11",24.1898
"2009-10-12",23.2673
"2009-10-13",23.0393
"2009-10-14",22.7048
"2009-10-15",23.5852
"2009-10-16",23.3468
"2009-10-17",23.8023
"2009-10-18",23.97
"2009-10-19",22.982
"2009-10-20",22.893
"2009-10-21",23.4824
"2009-10-22",23.4028
"2009-10-23",23.5113
"2009-10-24",23.5097
"2009-10-25",24.1367
"2009-10-26",24.2948
"2009-10-27",23.1425
"2009-10-28",23.2874
"2009-10-29",22.6931
"2009-10-30",24.087
"2009-10-31",23.2603
"2009-11-01",23.2055
"2009-11-02",22.5757
"2009-11-03",23.0021
"2009-11-04",22.6669
"2009-11-05",23.1221
"2009-11-06",23.2935
"2009-11-07",23.012
"2009-11-08",22.9067
"2009-11-09",23.0099
"2009-11-10",22.8502
"2009-11-11",23.7054
"2009-11-12",23.7206
"2009-11-13",23.5804
"2009-11-14",22.9819
"2009-11-15",22.1752
"2009-11-16",23.2301
"2009-11-17",23.2082
"2009-11-18",22.5236
"2009-11-19",22.8525
