,"(mm) Precipitation (CHIRPS) at Matale, 2007-01-01 to 2025-12-31"
"2009-07-18",0
"2009-07-19",0
"2009-07-20",1.1986
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0
"2009-07-24",0.0672
"2009-07-25",3.3075
"2009-07-26",1.0236
"2009-07-27",0
"2009-07-28",0
"2009-07-29",0.5119
"2009-07-30",0.9468
"2009-07-31",1.2773
"2009-08-01",0
"2009-08-02",0
"2009-08-03",0
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",1.9395
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0
"2009-08-11",6.148
"2009-08-12",6.5393
"2009-08-13",7.9185
"2009-08-14",8.0941
"2009-08-15",27.6357
"2009-08-16",22.3044
"2009-08-17",11.8636
"2009-08-18",17.5246
"2009-08-19",9.842
"2009-08-20",17.3427
"2009-08-21",2.2522
"2009-08-22",0
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0
"2009-08-26",0
"2009-08-27",0
"2009-08-28",0
"2009-08-29",0.0917
"2009-08-30",0.7752
"2009-08-31",1.2433
"2009-09-01",0.0138
"2009-09-02",0.0416
"2009-09-03",0.8326
"2009-09-04",0.0027
"2009-09-05",0
"2009-09-06",0
"2009-09-07",0.3425
"2009-09-08",0
"2009-09-09",0.2429
"2009-09-10",0
"2009-09-11",6.2543
"2009-09-12",0.1202
"2009-09-13",11.0545
"2009-09-14",0
"2009-09-15",0
"2009-09-16",0
"2009-09-17",9.1518
"2009-09-18",24.145
"2009-09-19",0
"2009-09-20",0
"2009-09-21",15.5274
"2009-09-22",6.1397
"2009-09-23",0.1248
"2009-09-24",0
"2009-09-25",0
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0
"2009-09-29",0
"2009-09-30",2.2037
"2009-10-01",0.0041
"2009-10-02",1.0736
"2009-10-03",0
"2009-10-04",0
"2009-10-05",0
"2009-10-06",0
"2009-10-07",2.5296
"2009-10-08",0
"2009-10-09",0
"2009-10-10",1.3412
"2009-10-11",2.3238
"2009-10-12",18.7246
"2009-10-13",13.9579
"2009-10-14",22.2232
"2009-10-15",0
"2009-10-16",5.3066
"2009-10-17",1.1177
"2009-10-18",2.0432
"2009-10-19",13.5113
"2009-10-20",8.003
"2009-10-21",1.8814
"2009-10-22",0
"2009-10-23",0
"2009-10-24",0
"2009-10-25",0
"2009-10-26",0
"2009-10-27",0.1484
"2009-10-28",13.4735
"2009-10-29",25.6215
"2009-10-30",7.6687
"2009-10-31",27.7972
"2009-11-01",0.3648
"2009-11-02",20.6032
"2009-11-03",3.1066
"2009-11-04",19.6504
"2009-11-05",19.8796
"2009-11-06",34.82
"2009-11-07",9.6763
"2009-11-08",17.2332
"2009-11-09",43.4061
"2009-11-10",38.303
"2009-11-11",3.1218
"2009-11-12",41.1044
"2009-11-13",27.2174
"2009-11-14",28.6426
"2009-11-15",33.3706
"2009-11-16",6.2763
"2009-11-17",24.5895
"2009-11-18",13.8211
"2009-11-19",0.8575
"2009-11-20",37.5975
"2009-11-21",30.5861
"2009-11-22",16.6224
"2009-11-23",0.3663
"2009-11-24",0.0993
"2009-11-25",7.2685
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0
"2009-11-29",0.87
"2009-11-30",0
"2009-12-01",49.2403
"2009-12-02",15.4968
"2009-12-03",0
"2009-12-04",0
"2009-12-05",0.23
"2009-12-06",6.4502
"2009-12-07",2.2449
"2009-12-08",18.5042
"2009-12-09",20.7529
"2009-12-10",9.4122
"2009-12-11",0.6157
"2009-12-12",30.6658
"2009-12-13",0.8551
"2009-12-14",61.6327
"2009-12-15",50.5186
"2009-12-16",19.8118
"2009-12-17",13.0152
"2009-12-18",15.2723
"2009-12-19",0
"2009-12-20",0
"2009-12-21",8.8451
"2009-12-22",12.9879
"2009-12-23",2.5701
"2009-12-24",11.6832
"2009-12-25",24.3697
"2009-12-26",0.008
"2009-12-27",21.78
"2009-12-28",5.9047
"2009-12-29",4.2549
"2009-12-30",0.396
"2009-12-31",0
"2010-01-01",0
"2010-01-02",0.4188
"2010-01-03",14.8134
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",31.8015
"2010-01-09",4.1394
"2010-01-10",6.6994
"2010-01-11",10.0697
"2010-01-12",14.4822
"2010-01-13",0
"2010-01-14",0
"2010-01-15",0
"2010-01-16",13.203
"2010-01-17",0
"2010-01-18",4.296
"2010-01-19",0
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",0.4911
"2010-01-28",0
"2010-01-29",0
"2010-01-30",0
"2010-01-31",3.6018
"2010-02-01",15.2562
"2010-02-02",0
"2010-02-03",0
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0.6463
"2010-02-07",0
"2010-02-08",0
"2010-02-09",0
"2010-02-10",3.123
"2010-02-11",15.4854
"2010-02-12",8.9704
"2010-02-13",0.7622
"2010-02-14",0
"2010-02-15",0
"2010-02-16",17.0175
"2010-02-17",0
"2010-02-18",0
"2010-02-19",0.1108
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",3.1458
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0
"2010-03-06",0
"2010-03-07",0.3264
"2010-03-08",0
"2010-03-09",0
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0
"2010-03-13",0.2416
"2010-03-14",0
"2010-03-15",0
"2010-03-16",0
"2010-03-17",0
"2010-03-18",4.7867
